id_analyse,nom_analyse,nom_prenom,nageur_sexe,competition_nom,mois_annee,distance_course,style_nage,round,temps_final,temps_reaction,temps_vol,temps_depart,DISTANCE_FIN_COULEE,LONGUEUR,TEMPS_FIN_COULEE,TEMPS_DE_PASSAGE
10522282,50 Nage Libre Finale CM 2019 GWANGJU,DRESSEL Caeleb,m,CM 2019 GWANGJU,2019-07,50,Nage Libre,Finale,21.04,0.62,0.93,1.55,14.33,0,4.73,21.04
10522485,50 Nage Libre Finale CM 2023 FUKUOKA,MCEVOY CAMERON,m,CM 2023 FUKUOKA,2023-07,50,Nage Libre,Finale,21.06,0.58,0.89,1.47,11.47,0,4,21.06
10518039,50 Nage Libre Finale JO 2021 TOKYO,DRESSEL Caeleb,m,JO 2021 TOKYO,2021-07,50,Nage Libre,Finale,21.07,0.63,1.01,1.6400000000000001,13.86,0,4.63,21.07
10514558,50 Nage Libre Finale CM 2017 BUDAPEST,DRESSEL Caeleb Remel,m,CM 2017 BUDAPEST,2017-07,50,Nage Libre,Finale,21.15,0.62,1.02,1.6400000000000001,13.33,0,4.56,21.15
762709,50 Nage Libre Finale CM 2015 KAZAN,MANAUDOU Florent,m,CM 2015 KAZAN,2015-09,50,Nage Libre,Finale,21.19,0.62,1.06,1.6800000000000002,12.85,0,4.54,21.19
10522484,50 Nage Libre Demi-finale CM 2023 FUKUOKA,MCEVOY CAMERON,m,CM 2023 FUKUOKA,2023-07,50,Nage Libre,Demi-finale,21.25,0.58,0.89,1.47,11.46,0,4.01,21.25
10514560,50 Nage Libre Finale CM 2017 BUDAPEST,FRATUS Bruno,m,CM 2017 BUDAPEST,2017-07,50,Nage Libre,Finale,21.27,0.67,1.03,1.7000000000000002,10.06,0,3.63,21.27
10514566,50 Nage Libre Demi-finale CM 2017 BUDAPEST,DRESSEL Caeleb Remel,m,CM 2017 BUDAPEST,2017-07,50,Nage Libre,Demi-finale,21.29,0.64,1.03,1.67,14.03,0,4.79,21.29
10517334,50 Nage Libre Finale CM 2022 BUDAPEST,PROUD Benjamin,m,CM 2022 BUDAPEST,2022-06,50,Nage Libre,Finale,21.32,0.57,0.99,1.56,12.88,0,4.44,21.32
10518002,50 Nage Libre Series JO 2021 TOKYO,DRESSEL Caeleb,m,JO 2021 TOKYO,2021-07,50,Nage Libre,Series,21.32,0.62,1.02,1.6400000000000001,14.28,0,4.79,21.32
1053800,50 Nage Libre Demi-finale JO 2016 RIO DE JANEIRO,MANAUDOU Florent,m,JO 2016 RIO DE JANEIRO,2016-08,50,Nage Libre,Demi-finale,21.32,0.64,1.04,1.6800000000000002,12.81,0,4.51,21.32
10522450,50 Nage Libre Series CM 2023 FUKUOKA,MCEVOY CAMERON,m,CM 2023 FUKUOKA,2023-07,50,Nage Libre,Series,21.35,0.6,0.9,1.5,11.91,0,4.16,21.35
10517002,50 Nage Libre Demi-finale CE 2022 ROME,PROUD Benjamin,m,CE 2022 ROME,2022-08,50,Nage Libre,Demi-finale,21.4,0.57,1.04,1.6099999999999999,13.66,0,4.69,21.4
10517335,50 Nage Libre Finale CM 2022 BUDAPEST,ANDREW Michael,m,CM 2022 BUDAPEST,2022-06,50,Nage Libre,Finale,21.41,0.66,0.94,1.6,14.20,0,4.96,21.41
1053646,50 Nage Libre Finale JO 2016 RIO DE JANEIRO,MANAUDOU Florent,m,JO 2016 RIO DE JANEIRO,2016-08,50,Nage Libre,Finale,21.41,0.63,1.04,1.67,12.30,0,4.38,21.41
762697,50 Nage Libre Demi-finale CM 2015 KAZAN,MANAUDOU Florent,m,CM 2015 KAZAN,2015-09,50,Nage Libre,Demi-finale,21.41,0.64,1.08,1.7200000000000002,13.80,0,5.08,21.41
